2026-05-01 19:31:00,314 | finlancer-agency | INFO | === ROTINA DI�RIA � 2026-05-01 ===
2026-05-01 19:31:00,314 | finlancer-agency | ERROR | ANTHROPIC_API_KEY n�o encontrada. Configure no arquivo .env
2026-05-01 19:32:40,152 | finlancer-agency | INFO | === ROTINA DI�RIA � 2026-05-01 ===
2026-05-01 19:32:40,792 | finlancer-agency | INFO | Tema customizado: erros comuns do MEI no primeiro ano
2026-05-01 19:32:41,707 | httpx | INFO | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 400 Bad Request"
2026-05-01 19:32:41,709 | agents.base_agent | WARNING | [Finlancer Brand Director] Tentativa 1 falhou: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CaceGnHRrRtqbecf9zgp2'}
2026-05-01 19:32:43,923 | httpx | INFO | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 400 Bad Request"
2026-05-01 19:32:43,924 | agents.base_agent | WARNING | [Finlancer Brand Director] Tentativa 2 falhou: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CaceGwse1fHasW63SckfV'}
2026-05-01 19:32:48,188 | httpx | INFO | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 400 Bad Request"
2026-05-01 19:32:48,188 | agents.base_agent | WARNING | [Finlancer Brand Director] Tentativa 3 falhou: Error code: 400 - {'type': 'error', 'error': {'type': 'invalid_request_error', 'message': 'Your credit balance is too low to access the Anthropic API. Please go to Plans & Billing to upgrade or purchase credits.'}, 'request_id': 'req_011CaceHG4mX6hjjXwefavGD'}
2026-05-01 19:36:03,288 | finlancer-agency | INFO | === ROTINA DI�RIA � 2026-05-01 ===
2026-05-01 19:36:03,808 | finlancer-agency | INFO | Tema customizado: erros comuns do MEI no primeiro ano
2026-05-01 19:37:20,885 | httpx | INFO | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2026-05-01 19:37:20,926 | agents.base_agent | INFO | [Finlancer Brand Director] Resposta gerada (11477 chars)
2026-05-01 19:38:27,657 | httpx | INFO | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2026-05-01 19:38:27,658 | agents.base_agent | INFO | [Finlancer Social Copy Specialist] Resposta gerada (9247 chars)
2026-05-01 19:38:37,780 | httpx | INFO | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2026-05-01 19:38:37,781 | agents.base_agent | INFO | [Finlancer Visual Content Creator] Resposta gerada (15917 chars)
2026-05-01 19:39:11,749 | httpx | INFO | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2026-05-01 19:39:11,751 | agents.base_agent | INFO | [Finlancer Video Script Specialist] Resposta gerada (14789 chars)
2026-05-01 19:40:06,457 | httpx | INFO | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2026-05-01 19:40:06,459 | agents.base_agent | INFO | [Finlancer Visual Content Creator] Resposta gerada (15809 chars)
2026-05-01 19:41:20,598 | httpx | INFO | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2026-05-01 19:41:20,600 | agents.base_agent | INFO | [Finlancer Content Strategist] Resposta gerada (11160 chars)
2026-05-01 19:42:36,880 | httpx | INFO | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 200 OK"
2026-05-01 19:42:36,881 | agents.base_agent | INFO | [Finlancer Brand Director] Resposta gerada (11889 chars)
2026-05-01 19:42:36,881 | finlancer-agency | INFO | Brand Director concluiu revis�o
2026-05-01 19:42:36,887 | tools.output_manager | INFO | Salvo [instagram_captions]: C:\Users\Juan\Downloads\Finlancer\C�digo\fin-liberta\finlancer-marketing-agency\output\2026-05-01\instagram\legendas.md
2026-05-01 19:42:36,889 | tools.output_manager | INFO | Salvo [instagram_carousel]: C:\Users\Juan\Downloads\Finlancer\C�digo\fin-liberta\finlancer-marketing-agency\output\2026-05-01\instagram\carrossel-conceito.md
2026-05-01 19:42:36,892 | tools.output_manager | INFO | Salvo [instagram_reels]: C:\Users\Juan\Downloads\Finlancer\C�digo\fin-liberta\finlancer-marketing-agency\output\2026-05-01\instagram\reels-roteiros.md
2026-05-01 19:42:36,895 | tools.output_manager | INFO | Salvo [visual_concept]: C:\Users\Juan\Downloads\Finlancer\C�digo\fin-liberta\finlancer-marketing-agency\output\2026-05-01\instagram\visual-conceito.md
2026-05-01 19:42:36,897 | tools.output_manager | INFO | Salvo [facebook_post]: C:\Users\Juan\Downloads\Finlancer\C�digo\fin-liberta\finlancer-marketing-agency\output\2026-05-01\facebook\post-storytelling.md
2026-05-01 19:42:36,900 | tools.output_manager | INFO | Salvo [tiktok_script]: C:\Users\Juan\Downloads\Finlancer\C�digo\fin-liberta\finlancer-marketing-agency\output\2026-05-01\tiktok\roteiro-video.md
2026-05-01 19:42:36,902 | tools.output_manager | INFO | Salvo [youtube_idea]: C:\Users\Juan\Downloads\Finlancer\C�digo\fin-liberta\finlancer-marketing-agency\output\2026-05-01\youtube\ideia-video.md
2026-05-01 20:49:43,335 | finlancer-agency | INFO | === ROTINA DIÁRIA — 2026-05-01 ===
2026-05-01 20:49:43,875 | finlancer-agency | INFO | FASE 1: Planning Meeting
2026-05-01 20:49:45,319 | httpx | INFO | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 401 Unauthorized"
2026-05-01 20:49:45,323 | agents.base_agent | WARNING | [Finlancer Brand Director] Tentativa 1 falhou: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011Cack9c1YhHSwLvtDBHP9d'}
2026-05-01 20:49:47,497 | httpx | INFO | HTTP Request: POST https://api.anthropic.com/v1/messages "HTTP/1.1 401 Unauthorized"
2026-05-01 20:49:47,499 | agents.base_agent | WARNING | [Finlancer Brand Director] Tentativa 2 falhou: Error code: 401 - {'type': 'error', 'error': {'type': 'authentication_error', 'message': 'invalid x-api-key'}, 'request_id': 'req_011Cack9mYHWuPkRmerxc7kB'}
